INFO:__main__:Ініціалізація бази даних...
INFO:__main__:Запуск планувальника...
INFO:apscheduler.scheduler:Scheduler started
INFO:__main__:Запуск бота...
INFO:__main__:Бот запущений! Очікування повідомлень...
INFO:aiogram.dispatcher:Start polling
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.902437 seconds and try again... (tryings = 39, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.791489 seconds and try again... (tryings = 40, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.115724 seconds and try again... (tryings = 41, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.154705 seconds and try again... (tryings = 42, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.853379 seconds and try again... (tryings = 43, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.930992 seconds and try again... (tryings = 44, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.994146 seconds and try again... (tryings = 45, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.827253 seconds and try again... (tryings = 46, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.891287 seconds and try again... (tryings = 47, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.038894 seconds and try again... (tryings = 48, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.891619 seconds and try again... (tryings = 49, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.063025 seconds and try again... (tryings = 50, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.075300 seconds and try again... (tryings = 51, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.918508 seconds and try again... (tryings = 52, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.063346 seconds and try again... (tryings = 53, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.034485 seconds and try again... (tryings = 54, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.024390 seconds and try again... (tryings = 55, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.192526 seconds and try again... (tryings = 56, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.091112 seconds and try again... (tryings = 57, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.952055 seconds and try again... (tryings = 58, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.997021 seconds and try again... (tryings = 59, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.188465 seconds and try again... (tryings = 60, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.878593 seconds and try again... (tryings = 61, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.034596 seconds and try again... (tryings = 62, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.956656 seconds and try again... (tryings = 63, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.046973 seconds and try again... (tryings = 64, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.054633 seconds and try again... (tryings = 65, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.820390 seconds and try again... (tryings = 66, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.977490 seconds and try again... (tryings = 67, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.159800 seconds and try again... (tryings = 68, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.927049 seconds and try again... (tryings = 69, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.945393 seconds and try again... (tryings = 70, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.000959 seconds and try again... (tryings = 71, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.095148 seconds and try again... (tryings = 72, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.007572 seconds and try again... (tryings = 73, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.038308 seconds and try again... (tryings = 74, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.030020 seconds and try again... (tryings = 75, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.064153 seconds and try again... (tryings = 76, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.011334 seconds and try again... (tryings = 77, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 5.154582 seconds and try again... (tryings = 78, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.897669 seconds and try again... (tryings = 79, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 4.835488 seconds and try again... (tryings = 80, bot id = 8688272899)
INFO:aiogram.dispatcher:Connection established (tryings = 81, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - Request timeout error
WARNING:aiogram.dispatcher:Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 1.370894 seconds and try again... (tryings = 1, bot id = 8688272899)
ERROR:aiogram.dispatcher:Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [nodename nor servname provided, or not known]
WARNING:aiogram.dispatcher:Sleep for 1.862903 seconds and try again... (tryings = 2, bot id = 8688272899)
